dataset,n_engines,RMSE_final,CMAPSS_final,MAPE_final,Accuracy_pct_final,acc_within_10,acc_within_20
FD001,100,15.337720308278868,430.18607811598395,19.437594661708346,80.56240533829165,0.6,0.84
OVERALL,100,15.337720308278868,430.18607811598395,19.437594661708346,80.56240533829165,0.6,0.84
