sensor,importance_mean,importance_std
sensor_11,0.16763377977634025,0.006339591295881796
sensor_9,0.12334927353177183,0.0026655416880419147
sensor_12,0.037489265582050714,0.002646167011021229
sensor_4,0.03517549435193679,0.003120946722032746
sensor_7,0.018943564711022265,0.0022596446990809796
sensor_15,0.010363264827078267,0.0011570905431645651
sensor_13,0.008949341036857461,0.001116232193410477
sensor_21,0.008174398690102402,0.0010811649457833407
sensor_2,0.0077665672657821205,0.000676794256866323
sensor_20,0.007689479867626092,0.001070430121389083
sensor_14,0.005676755340435602,0.0019011872662308984
sensor_8,0.004733577278445011,0.0008264578116077135
sensor_3,0.00425502941510304,0.0011001615433651846
sensor_17,0.001269728838127948,0.0004879437866524283
sensor_6,-2.1890035109439767e-06,8.202810215867296e-06
