sensor,ensemble_score,rf_importance_score,perm_importance_score,ablation_score,correlation_score
sensor_11,0.8963381770333043,1.0,1.0,0.5853527081332176,1.0
sensor_12,0.42663214837656654,0.060660806292429356,0.1783753607565732,1.0,0.9600253022403707
sensor_9,0.38125891027001935,0.22180367155473021,0.7425630674207325,0.0,0.5482073520634388
sensor_15,0.3398760433402335,0.028272232343280017,0.038944555369250844,0.9043954120199316,0.9166492625302881
sensor_3,0.31788386195270096,0.019204100027471672,0.03308171791876466,0.8742208912317513,0.8198880786495402
sensor_4,0.30825000304117,0.13434221492859966,0.15686575322581967,0.4630630960856595,0.972785509121384
sensor_2,0.2996906541341212,0.021258654809554658,0.02714194361262913,0.7925469536460303,0.8567663901532702
sensor_7,0.2697943293131853,0.04014918792882556,0.06932610851763191,0.5590951652041712,0.9371164365232364
sensor_21,0.2326617149623876,0.022567836242500118,0.027374592555232363,0.5053000077851209,0.8998525474902602
sensor_14,0.16700340112593387,0.037602838586850935,0.014700721461144553,0.43778096742743744,0.4113205518161865
sensor_13,0.11170754835110888,0.01860054637223322,0.08184182137299327,0.0,0.7748274695889126
sensor_20,0.09742144283893939,0.01828235473407232,0.007081073743578779,0.0,0.8945836060846513
sensor_8,0.09248069124144051,0.01305303625062403,0.03131967998801218,0.0,0.7760289237044904
sensor_17,0.09043820579854822,0.006117462533890016,0.008116744162436008,0.0,0.8576210658152861
sensor_6,0.0,0.0,0.0,0.0,0.0
