sensor,importance_mean,importance_std
sensor_11,0.17134671290285852,0.012378451906720262
sensor_9,0.12723436640019942,0.012195029602825218
sensor_12,0.030559645490654607,0.005247789182508325
sensor_4,0.026873930115528123,0.0031283732967809378
sensor_13,0.014018425488721176,0.002775726146239454
sensor_7,0.011873832416266472,0.003144411418273203
sensor_15,0.006667890959682043,0.0024748491981831473
sensor_3,0.005663281735537484,0.0015711814764903377
sensor_8,0.005361352921464746,0.0010084291694791405
sensor_21,0.004685354096919692,0.0034166123174612403
sensor_2,0.00464548922334942,0.001666380920718043
sensor_14,0.002513660285813968,0.0026709143112716416
sensor_17,0.0013854822693328051,0.00142721469519236
sensor_20,0.0012080180184910305,0.00327267626819784
sensor_6,-5.338493560513857e-06,1.004634438042393e-05
