sensor,rmse_without,rmse_increase,percent_increase
sensor_12,21.444249028466373,0.3039786048404878,1.4379125656820746
sensor_15,21.37782131593317,0.23755089230728288,1.123688995206993
sensor_3,21.356855539759724,0.2165851161338388,1.0245144068345888
sensor_2,21.30010708278682,0.15983665916093415,0.7560767008084454
sensor_11,21.156144956384175,0.015874532758289206,0.07509143658137972
sensor_7,21.1379007638159,-0.0023696598099860466,-0.011209221842960764
sensor_21,21.100522962936132,-0.03974746068975321,-0.18801774950490865
sensor_4,21.071176030033214,-0.06909439359267111,-0.3268377944468146
sensor_14,21.053609572081573,-0.08666085154431258,-0.4099325590814694
sensor_9,20.749431824222434,-0.3908385994034518,-1.8487871326691236
