dataset,n_engines,RMSE_final,CMAPSS_final,MAPE_final,Accuracy_pct_final,acc_within_10,acc_within_20
FD001,93,16.585609345534873,366.0343610926099,21.6410365687919,78.3589634312081,0.5376344086021505,0.7849462365591398
FD002,235,14.847813144209375,843.6297170729564,20.822361771704823,79.17763822829518,0.5872340425531914,0.8212765957446808
FD003,97,14.585943778815928,362.54608419688856,18.11436671868615,81.88563328131386,0.5257731958762887,0.845360824742268
FD004,228,15.528544741003275,1009.1074115444133,21.572805671742024,78.42719432825797,0.5745614035087719,0.8289473684210527
OVERALL,653,15.30725930874714,2581.317573906868,20.798720799568173,79.20127920043183,0.5666156202143952,0.8223583460949464
