dataset,RMSE,CMAPSS,n_windows
FD001,19.57533150461634,51015.97330995338,8255
FD002,20.367950905092677,174427.53133527868,21584
FD003,15.14442696878593,50590.647506892295,11717
FD004,17.713124830468665,426774.29144406633,29416
