dataset,n_engines,RMSE_final,CMAPSS_final,MAPE_final,Accuracy_pct_final,acc_within_10,acc_within_20
FD001,93,15.766792877988921,417.3196825479126,18.057222499340252,81.94277750065974,0.6774193548387096,0.7956989247311828
FD002,235,14.654245972571301,1142.9163786394154,17.5785083689645,82.42149163103551,0.676595744680851,0.8212765957446808
FD003,97,16.50778192465485,1011.3350691509502,21.16736558096101,78.83263441903898,0.5360824742268041,0.7731958762886598
FD004,228,15.264535342751227,1127.6019616300032,17.966977218843976,82.03302278115602,0.6271929824561403,0.8421052631578947
OVERALL,653,15.314123019707596,3699.1730919682805,18.315430974571125,81.68456902542887,0.6385911179173047,0.8177641653905053
