dataset,RMSE,CMAPSS,n_windows
FD001,16.128220820534963,34467.42431408212,8255
FD002,15.915286871469577,108059.08376454517,21584
FD003,13.35175049695761,49900.72913303798,11717
FD004,13.985073306587456,382198.61814364337,29416
