dataset,RMSE,CMAPSS,n_windows
FD001,18.95667024241566,40465.054340088136,8255
FD002,17.93819157666167,118527.44964315675,21584
FD003,16.307256213864104,43679.29144644645,11717
FD004,16.295173651304605,417362.73355508107,29416
