dataset,n_engines,RMSE_final,CMAPSS_final,MAPE_final,Accuracy_pct_final,acc_within_10,acc_within_20
FD001,93,18.244495065791515,448.06984376921736,24.157343476572052,75.84265652342795,0.5053763440860215,0.7204301075268817
FD002,235,17.83022206497679,1401.1969908406666,28.868960595186543,71.13103940481346,0.4723404255319149,0.7361702127659574
FD003,97,16.931068793005593,658.8788792531985,22.87431129026904,77.12568870973095,0.4845360824742268,0.7835051546391752
FD004,228,17.94299867060533,1427.5565332083713,25.875766679551912,74.12423332044808,0.4956140350877193,0.7587719298245614
OVERALL,653,17.799185285493298,3935.7022470714537,26.262360920802404,73.73763907919759,0.4869831546707504,0.7488514548238897
