epoch,loss,mae,val_loss,val_mae
1,1147.88623046875,23.05243682861328,366.50848388671875,15.368732452392578
2,278.7525939941406,12.881194114685059,307.77496337890625,13.775774002075195
3,235.9738006591797,11.813145637512207,361.1237487792969,14.898283958435059
4,206.54974365234375,11.043594360351562,351.755615234375,14.731255531311035
5,181.01040649414062,10.333849906921387,306.1564025878906,13.551377296447754
6,165.7754364013672,9.863554954528809,292.7808837890625,12.728690147399902
7,151.78753662109375,9.449332237243652,283.8150939941406,12.740361213684082
8,139.11312866210938,9.036392211914062,329.06292724609375,14.050387382507324
9,129.39102172851562,8.691658973693848,349.85162353515625,14.374284744262695
10,118.03550720214844,8.312317848205566,277.2551574707031,12.467068672180176
11,111.38330078125,8.087845802307129,371.8696594238281,14.706374168395996
12,104.96475219726562,7.827632904052734,274.07940673828125,12.405896186828613
13,98.30033111572266,7.602010250091553,344.4341735839844,14.386124610900879
14,92.73185729980469,7.392696380615234,276.58697509765625,12.681005477905273
15,87.28861236572266,7.1549248695373535,285.96697998046875,12.715518951416016
