sensor,ensemble_score,rf_importance_score,perm_importance_score,ablation_score,correlation_score
sensor_15,0.7311458249370472,0.6860467676564089,1.0,0.5252375510637137,0.4402240687419602
sensor_11,0.6663434866346623,0.8160429135493761,0.3067568565391473,1.0,0.6416571278114797
sensor_13,0.4308029340500619,1.0,0.370079501369589,0.0,0.012751085707057614
sensor_4,0.41222152648263133,0.5956044749914818,0.12120630700456242,0.549278681670491,0.5379830611596716
sensor_14,0.1932962718312848,0.13046503868049705,0.12043801460989598,0.15928543751946714,0.7218209573380532
sensor_9,0.15747105401901726,0.1104959398434095,0.025254699205457733,0.36299911376865646,0.2473334890192008
sensor_3,0.12838380926938217,0.04887794149696594,0.012186476652135389,0.29108779866449064,0.3668321032592234
sensor_8,0.1234645609720604,0.09262121257093525,0.03639830159406441,0.3317551665714291,0.0
sensor_2,0.12331606862667793,0.074881159283647,0.0352181618642319,0.3274026188277295,0.06674709482170309
sensor_16,0.10156488467175503,0.004312396907345353,0.0007747588558612064,0.0,1.0
sensor_12,0.0937236940661517,0.05031642507833145,0.014867544585530378,0.2753694778934271,0.04582756464359866
sensor_17,0.04666256836267282,0.027125650952676997,0.005088325451465394,0.0,0.36743959168856827
sensor_21,0.021293159076229827,0.032788944593203084,0.004478798214560747,0.0,0.09888896323172638
sensor_20,0.019882159245805574,0.026506689143334122,0.005536098732889948,0.0,0.09992517946293854
sensor_7,0.01985785827231615,0.04064421121455225,0.00808933595902907,0.0,0.04833327322290303
sensor_10,0.004487244655595941,0.0005259621692427822,0.0,0.0,0.04329456004823106
sensor_6,0.0032936696017214066,0.0029658936642466775,0.0007907345109780352,0.0,0.021271444236050912
sensor_5,0.00251998867255538,6.475665082368968e-06,1.8341158942575948e-05,0.0,0.02511626567400767
sensor_1,0.0024998461342219517,5.45605651017313e-06,2.377472462616905e-05,0.0,0.0248988816364974
sensor_18,0.0006314240505190304,4.177582622068394e-06,2.322451828547599e-05,0.0,0.006220421943324932
sensor_19,0.0005403506791925128,0.0,2.31843159872951e-05,0.0,0.005322361685969595
