sensor,importance
sensor_13,0.26736268437833655
sensor_11,0.21817942393448
sensor_15,0.18342330540969845
sensor_4,0.1592424112614724
sensor_14,0.0348814829591412
sensor_9,0.029542491089441156
sensor_8,0.02476345602334178
sensor_2,0.020020427755437657
sensor_12,0.01345273447726415
sensor_3,0.013068137645516103
sensor_7,0.01086674541476278
sensor_21,0.008766540244371322
sensor_17,0.0072523868542175044
sensor_20,0.007086899563343921
sensor_16,0.0011529740132526901
sensor_6,0.0007929692916536924
sensor_10,0.0001406226574502032
sensor_5,1.7313511995572293e-06
sensor_1,1.458745914679787e-06
sensor_18,1.1169297040484956e-06
sensor_19,0.0
