sensor,importance_mean,importance_std
sensor_15,0.9428696300825539,0.0163711810883554
sensor_13,0.34892295231002335,0.007178359932394317
sensor_11,0.28921656935124684,0.002351050263277251
sensor_4,0.11426253516034623,0.0019838022170981374
sensor_14,0.11353811879929403,0.005311212438270247
sensor_8,0.03429778854295733,0.0014775478637358286
sensor_2,0.03318504483424267,0.0011008692255449195
sensor_9,0.023790580678597417,0.0017045183067467007
sensor_12,0.01399662097823976,0.0008312442649533141
sensor_3,0.01146866483871949,0.0006009796738291153
sensor_7,0.007605505744313001,0.0003781740525870492
sensor_20,0.005198080090873136,0.0003135099324754741
sensor_17,0.004775878474199824,0.000411996699946007
sensor_21,0.004201160429369544,0.0003185892960132385
sensor_6,0.000723716547293829,0.00011051396636030045
sensor_16,0.0007086532380309763,0.00010364571874457245
sensor_1,5.566912814392033e-07,5.530270865075486e-07
sensor_18,3.79064048483535e-08,1.5142999943222468e-07
sensor_19,0.0,0.0
sensor_5,-4.56657156402418e-06,2.1875047917819473e-06
sensor_10,-2.1860294254627545e-05,2.2913607172335178e-05
