sensor,rmse_without,rmse_increase,percent_increase
sensor_11,19.817741609375826,0.6485011479100891,3.383029959970061
sensor_4,19.4127134567573,0.24347299529156174,1.2701233300348775
sensor_15,19.39110956468356,0.2218691032178235,1.1574225054134393
sensor_9,19.245318514051927,0.07607805258619038,0.3968756755862263
sensor_8,19.21724201156763,0.048001550101894,0.25040924390503294
sensor_2,19.21333071582873,0.04409025436299174,0.23000522348093322
sensor_3,19.180697414661825,0.011456953196088193,0.059767382119907744
sensor_12,19.16657258371803,-0.0026678777477080473,-0.013917493252124677
sensor_14,19.062256895710597,-0.10698356575514012,-0.5581001812262719
sensor_13,18.919119476037054,-0.25012098542868344,-1.3048038388974252
