sensor,importance_mean,importance_std
sensor_11,0.16763377977634025,0.006339591295881796
sensor_9,0.1233492735317718,0.0026655416880419255
sensor_12,0.037489265582050714,0.0026461670110212374
sensor_4,0.03517549435193677,0.00312094672203274
sensor_7,0.0189435647110223,0.002259644699080973
sensor_15,0.010363264827078255,0.001157090543164559
sensor_13,0.00894934103685745,0.0011162321934104701
sensor_21,0.008174398690102381,0.001081164945783333
sensor_2,0.007766567265782132,0.0006767942568663183
sensor_20,0.007689479867626092,0.001070430121389083
sensor_14,0.005676755340435602,0.0019011872662308984
sensor_8,0.004733577278445011,0.0008264578116077135
sensor_3,0.004255029415103029,0.0011001615433651635
sensor_17,0.0012697288381279814,0.00048794378665241385
sensor_6,-2.1890035109550787e-06,8.202810215875126e-06
