sensor,rmse_without,rmse_increase,percent_increase
sensor_12,19.706555610382956,0.20484277188145938,1.0503834897878612
sensor_15,19.643225192278226,0.14151235377672933,0.7256406396126746
sensor_7,19.624718571505255,0.12300573300375817,0.6307432276456896
sensor_2,19.6217257935527,0.12001295505120169,0.6153969963821057
sensor_21,19.615848469882405,0.11413563138090765,0.5852595222075775
sensor_11,19.587271649034147,0.08555881053264969,0.43872459430196387
sensor_4,19.531555686221125,0.029842847719628196,0.1530268031673125
sensor_14,19.49023758249209,-0.011475256009408241,-0.05884229813267005
sensor_3,19.480503847517678,-0.02120899098381912,-0.1087545035631281
sensor_9,19.396819265856365,-0.10489357264513188,-0.5378685119290879
