sensor,importance_mean,importance_std
sensor_11,0.16763377977634025,0.006339591295881796
sensor_9,0.1233492735317718,0.0026655416880419255
sensor_12,0.037489265582050714,0.002646167011021229
sensor_4,0.03517549435193679,0.003120946722032746
sensor_7,0.0189435647110223,0.0022596446990809723
sensor_15,0.010363264827078278,0.001157090543164583
sensor_13,0.008949341036857461,0.001116232193410477
sensor_21,0.008174398690102381,0.001081164945783333
sensor_2,0.007766567265782109,0.0006767942568663212
sensor_20,0.007689479867626092,0.001070430121389083
sensor_14,0.005676755340435602,0.0019011872662308984
sensor_8,0.004733577278445022,0.0008264578116077225
sensor_3,0.004255029415103029,0.001100161543365179
sensor_17,0.001269728838127937,0.00048794378665244307
sensor_6,-2.1890035109550787e-06,8.202810215875126e-06
