sensor,rmse_without,rmse_increase,percent_increase
sensor_11,18.58231402298951,0.39930395202164704,2.1960277779266084
sensor_15,18.368075748574842,0.18506567760697834,1.0177945064357954
sensor_4,18.325154629383317,0.1421445584154526,0.7817438249259375
sensor_9,18.25509118358023,0.07208111261236638,0.396420132481011
sensor_12,18.23861710138359,0.055607030415725234,0.30581861968228746
sensor_7,18.228334930071448,0.04532485910358375,0.24927038442305144
sensor_2,18.221450979044846,0.03844090807698208,0.21141113559827615
sensor_3,18.22121786734232,0.038207796374457814,0.21012910527648437
sensor_13,18.195724255928447,0.012714184960582742,0.06992343352920982
sensor_14,18.15128249087057,-0.03172758009729293,-0.1744902520180153
