dataset,RMSE,CMAPSS,n_windows
FD001,15.528457114172022,28498.497334441923,8255
FD002,17.164902581000405,108575.78632691053,21584
FD003,12.349803203296652,36423.043997008805,11717
FD004,13.980266287127165,320778.80517535756,29416
