dataset,n_engines,RMSE_final,CMAPSS_final,MAPE_final,Accuracy_pct_final,acc_within_10,acc_within_20
FD001,93,14.512971715541388,312.13667952677815,18.715658969641964,81.28434103035804,0.6236559139784946,0.8709677419354839
FD002,235,14.972153813298979,914.56319440225,17.85457720406654,82.14542279593346,0.6340425531914894,0.8085106382978723
FD003,97,15.498643540341094,766.4682433824504,17.38360762225112,82.61639237774888,0.6288659793814433,0.8247422680412371
FD004,228,14.415023583620162,904.2554076010082,17.005816669756086,82.99418333024391,0.6754385964912281,0.868421052631579
OVERALL,653,14.79539219876309,2897.4235249124868,17.610900562320193,82.3890994376798,0.6462480857580398,0.8407350689127105
