dataset,n_engines,RMSE_final,CMAPSS_final,MAPE_final,Accuracy_pct_final,acc_within_10,acc_within_20
FD001,93,17.269313218664703,413.6709617198791,21.531340749633443,78.46865925036656,0.5053763440860215,0.7741935483870968
FD002,235,16.836442470287615,1138.0953852896364,27.91915970459413,72.08084029540586,0.5106382978723404,0.7702127659574468
FD003,97,16.104055092189217,483.2660563389206,21.484702453700752,78.51529754629925,0.5773195876288659,0.8041237113402062
FD004,228,17.9778552036236,1440.086765317731,27.47611913672436,72.52388086327564,0.4868421052631579,0.7412280701754386
OVERALL,653,17.200562692451474,3475.1191686661664,25.89891044636701,74.10108955363299,0.5114854517611026,0.7656967840735069
