dataset,n_engines,RMSE_final,CMAPSS_final,MAPE_final,Accuracy_pct_final,acc_within_10,acc_within_20
FD001,93,17.711625336627126,400.3965110585873,22.151941146816107,77.84805885318389,0.5376344086021505,0.7634408602150538
FD002,235,15.795460506603515,949.7722058913837,21.09178352248975,78.90821647751025,0.5404255319148936,0.7957446808510639
FD003,97,15.504218098301987,356.7965193604708,18.96855785543148,81.03144214456852,0.5360824742268041,0.8350515463917526
FD004,228,16.742888681015838,1118.011010273094,22.39437146296298,77.60562853703702,0.5570175438596491,0.7807017543859649
OVERALL,653,16.372241050439303,2824.9762465835356,21.382184471625425,78.61781552837458,0.5451761102603369,0.7917304747320061
