dataset,RMSE,CMAPSS,n_windows
FD001,20.162865314615196,45376.12329234291,8255
FD002,18.88542483610666,125580.5295047531,21584
FD003,17.788787156136536,49876.26059165789,11717
FD004,17.414484839539828,398270.7090733502,29416
