dataset,RMSE,CMAPSS,n_windows
FD001,18.521045158671022,40306.083958038835,8255
FD002,18.98361222104435,130839.10163738264,21584
FD003,15.40322790624227,46318.55785190554,11717
FD004,17.46810709908203,450299.480365666,29416
